452,1620,
968,2268,1683;
226,900,
258,1032,
452,1616,
904,3232,4;
285,1132,
285,1132,
285,1136,
285,1136,
441,1760,
259,1036,
299,1132,
285,1136,
299,1132,
238,892,
299,1136,
452,1616,
373,1488,
452,1620,
204,760,
669,2264,2237;
1430,5668,973;979;1461;1463;
457,1788,
292,1132,
452,1612,
452,1616,
450,1800,918;
292,1132,
292,1136,
292,1132,
292,1132,
292,1132,
292,1136,
292,1136,
855,3408,148;267;
904,3236,26;
225,884,
904,3240,19;
1356,4852,26;36;
623,2352,
452,1616,
258,1032,
904,3228,25;
292,1132,
292,1132,
292,1132,
292,1136,
292,1136,
119,444,
1356,4856,19;38;
7150,7936,1827;2950;2991;3285;3367;3496;
259,1036,
457,1788,
452,1616,
904,3228,17;
904,3236,0;
259,1036,
1356,4848,17;55;
2712,9696,4;5;64;70;98;
1356,4852,0;56;
573,764,
259,1036,
1356,4848,25;43;
1356,4852,4;5;
1808,6464,25;43;63;
259,1036,
292,1132,
144,576,
1808,6472,0;56;60;
1808,6468,4;5;64;
904,3236,54;
525,2048,
266,1044,
1356,4856,54;71;
816,3260,
1808,6468,19;38;50;
3164,11316,4;5;59;64;70;98;
2260,8088,19;38;50;76;
259,1036,
1808,6476,54;71;74;
259,1036,
259,1036,
152,568,
259,1036,
9145,36520,
246,892,
2260,8084,0;56;60;69;
259,1036,
2260,8080,25;43;63;65;
452,1616,
2712,9704,0;56;60;69;87;
266,1040,
3164,11320,0;56;60;69;87;91;
259,1036,
2712,9700,26;36;39;117;138;
397,1484,
3616,12932,0;56;60;69;87;91;93;
2260,8080,4;5;64;70;
1808,6464,17;55;58;
784,2936,
2712,9700,19;38;50;76;78;
2712,9696,25;43;63;65;89;
259,1036,
492,1788,86;
2260,8096,54;71;74;80;
257,1024,
2260,8076,17;55;58;99;
259,1032,
3164,11312,25;43;63;65;89;102;
169,672,
266,1044,
678,892,
904,3232,90;
350,1400,
224,896,
4068,14548,0;56;60;69;87;91;93;97;
1808,6468,26;36;39;
259,1036,
3616,12924,25;43;63;65;89;102;109;
534,2008,
9944,35544,0;56;60;69;87;91;93;97;116;123;136;139;144;169;171;184;204;206;207;223;227;
2712,9712,54;71;74;80;105;
4520,16164,0;56;60;69;87;91;93;97;116;
259,1032,
239,892,
4068,14544,25;43;63;65;89;102;109;119;
448,1792,115;
1356,4848,90;113;
259,1036,
3164,11320,19;38;50;76;78;101;
3616,12932,19;38;50;76;78;101;130;
266,1044,
672,2688,115;127;
4068,14544,19;38;50;76;78;101;130;131;
258,1032,
4972,17780,0;56;60;69;87;91;93;97;116;123;
259,1036,
2260,8084,26;36;39;117;
